event,url,date,location,event_id,event_norm
UFC 247: Jones vs. Reyes,http://ufcstats.com/event-details/b26d3e3746fb4024,"February 08, 2020","Houston, Texas, USA",507,ufc 247: jones vs. reyes
UFC Fight Night: Blaydes vs. Dos Santos,http://ufcstats.com/event-details/44aa652b181bcf68,"January 25, 2020","Raleigh, North Carolina, USA",506,ufc fight night: blaydes vs. dos santos
UFC 246: McGregor vs. Cowboy,http://ufcstats.com/event-details/0c1773639c795466,"January 18, 2020","Las Vegas, Nevada, USA",505,ufc 246: mcgregor vs. cowboy
UFC Fight Night: Edgar vs. The Korean Zombie,http://ufcstats.com/event-details/74fefd43f073cd2f,"December 21, 2019","Busan, South Korea",504,ufc fight night: edgar vs. the korean zombie
UFC 245: Usman vs. Covington,http://ufcstats.com/event-details/4565d435005319c0,"December 14, 2019","Las Vegas, Nevada, USA",503,ufc 245: usman vs. covington
UFC Fight Night: Overeem vs. Rozenstruik,http://ufcstats.com/event-details/b09890ba7ce1d1e2,"December 07, 2019","Washington, DC, USA",502,ufc fight night: overeem vs. rozenstruik
UFC Fight Night: Blachowicz vs. Jacare,http://ufcstats.com/event-details/81ca2c245b19b3c5,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",501,ufc fight night: blachowicz vs. jacare
UFC Fight Night: Zabit vs. Kattar,http://ufcstats.com/event-details/8d5daf67983b65ba,"November 09, 2019","Moscow, Moscow, Russia",500,ufc fight night: zabit vs. kattar
UFC 244: Masvidal vs. Diaz,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,"November 02, 2019","New York City, New York, USA",499,ufc 244: masvidal vs. diaz
UFC Fight Night: Maia vs. Askren,http://ufcstats.com/event-details/df05aa15b2d66f57,"October 26, 2019","Kallang, Singapore",498,ufc fight night: maia vs. askren
UFC Fight Night: Reyes vs. Weidman,http://ufcstats.com/event-details/3ae10ac4df3df05c,"October 18, 2019","Boston, Massachusetts, USA",497,ufc fight night: reyes vs. weidman
UFC Fight Night: Joanna vs. Waterson,http://ufcstats.com/event-details/0941df56f6ac954b,"October 12, 2019","Tampa, Florida, USA",496,ufc fight night: joanna vs. waterson
UFC 243: Whittaker vs. Adesanya,http://ufcstats.com/event-details/3cf68c1d17f66af7,"October 05, 2019","Melbourne, Victoria, Australia",495,ufc 243: whittaker vs. adesanya
UFC Fight Night: Hermansson vs. Cannonier,http://ufcstats.com/event-details/1bf49bf829964144,"September 28, 2019","Copenhagen, Denmark",494,ufc fight night: hermansson vs. cannonier
UFC Fight Night: Rodriguez vs. Stephens,http://ufcstats.com/event-details/94a5aaf573f780ad,"September 21, 2019","Mexico City, Distrito Federal, Mexico",493,ufc fight night: rodriguez vs. stephens
UFC Fight Night: Cowboy vs. Gaethje,http://ufcstats.com/event-details/4834ff149dc9542a,"September 14, 2019","Vancouver, British Columbia, Canada",492,ufc fight night: cowboy vs. gaethje
UFC 242: Khabib vs. Poirier,http://ufcstats.com/event-details/a79bfbc01b2264d6,"September 07, 2019","Abu Dhabi, Abu Dhabi, United Arab Emirates",491,ufc 242: khabib vs. poirier
UFC Fight Night: Andrade vs. Zhang,http://ufcstats.com/event-details/2c104b7e59a72629,"August 31, 2019","Shenzhen, Guangdong, China",490,ufc fight night: andrade vs. zhang
UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,"August 17, 2019","Anaheim, California, USA",489,ufc 241: cormier vs. miocic 2
UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,"August 10, 2019","Montevideo, Uruguay",488,ufc fight night: shevchenko vs. carmouche 2
UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,"August 03, 2019","Newark, New Jersey, USA",487,ufc fight night: covington vs. lawler
UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,"July 27, 2019","Edmonton, Alberta, Canada",486,ufc 240: holloway vs. edgar
UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,"July 20, 2019","San Antonio, Texas, USA",485,ufc fight night: dos anjos vs. edwards
UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,"July 13, 2019","Sacramento, California, USA",484,ufc fight night: de randamie vs. ladd
UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,"July 06, 2019","Las Vegas, Nevada, USA",483,ufc 239: jones vs. santos
UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,"June 29, 2019","Minneapolis, Minnesota, USA",482,ufc fight night: ngannou vs. dos santos
