fighter_id,first,last,nickname,url
292,Stephen,Bass,Bigfish,http://ufcstats.com/fighter-details/1cecc8fe6748a532
293,Sean,Bassett,,http://ufcstats.com/fighter-details/2c733e059462c1dc
294,Ryan,Bastianelli,Relentless,http://ufcstats.com/fighter-details/29508aff4d93cbbe
295,Shayna,Baszler,The Queen of Spades,http://ufcstats.com/fighter-details/8ef4a91ac694b7ce
296,Namsrai,Batbayar,Steppe Warrior,http://ufcstats.com/fighter-details/e1f8beeb6d2d871a
297,Michel,Batista,,http://ufcstats.com/fighter-details/34218661c44ed55d
298,Bryan,Battle,The Butcher,http://ufcstats.com/fighter-details/f626118b6da0e020
299,Alan,Baudot,The Black Samourai,http://ufcstats.com/fighter-details/c9a94278df042f46
300,Mario,Bautista,,http://ufcstats.com/fighter-details/bc711b6dd95c1af6
301,Chris,Beal,Real Deal,http://ufcstats.com/fighter-details/55f446032177b119
302,Donovan,Beard,The Highlight Reel,http://ufcstats.com/fighter-details/3a6ac598320ca7f2
303,Rudy,Bears,,http://ufcstats.com/fighter-details/74f13066b1417ef3
304,Salvador,Becerra,,http://ufcstats.com/fighter-details/4fd76e7ba8313457
305,Ariel,Beck,,http://ufcstats.com/fighter-details/b96939f2b8d88e82
306,Jack,Becker,,http://ufcstats.com/fighter-details/b5a379583673510a
307,Jeff,Bedard,Little Popeye,http://ufcstats.com/fighter-details/93bf96be327fcd98
308,Eric,Bedard,Lucky Strikes,http://ufcstats.com/fighter-details/ce05955c26c3c090
309,Johnny,Bedford,Brutal,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7
310,Rolando,Bedoya,The Machine,http://ufcstats.com/fighter-details/40a456a25d52ee65
311,Chase,Beebe,,http://ufcstats.com/fighter-details/b16a7e6a627e9789
312,Lyle,Beerbohm,Fancy Pants,http://ufcstats.com/fighter-details/babc6b5745335f18
313,Allan,Begosso,Mini,http://ufcstats.com/fighter-details/d6ed764f8b78d32a
314,Azamat,Bekoev,Iron,http://ufcstats.com/fighter-details/3bc3f60b21cddc6a
315,Mirsad,Bektic,,http://ufcstats.com/fighter-details/cbd3e590a85b18c5
316,Diana,Belbita,The Warrior Princess,http://ufcstats.com/fighter-details/d7e40dca3ae125be
317,Alan,Belcher,The Talent,http://ufcstats.com/fighter-details/4130a743d9d22163
318,Vitor,Belfort,The Phenom,http://ufcstats.com/fighter-details/0ee783aa00e468f0
319,Yousri,Belgaroui,,http://ufcstats.com/fighter-details/7674b836ce0698a0
320,Rodolfo,Bellato,Trator,http://ufcstats.com/fighter-details/69898645d600abdb
321,Danilo,Belluardo,Caterpillar,http://ufcstats.com/fighter-details/c3f6db17cea09ca7
322,Joey,Beltran,The Mexicutioner,http://ufcstats.com/fighter-details/46baf0f57edfa4df
323,Marco,Beltran,Psycho,http://ufcstats.com/fighter-details/ec71a892fada28c7
324,Joseph,Benavidez,,http://ufcstats.com/fighter-details/80eacd4da0617c57
325,Mike,Bencic,Batman,http://ufcstats.com/fighter-details/a71feb7ea7592a71
326,Dave,Beneteau,Dangerous,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a
327,Karla,Benitez,,http://ufcstats.com/fighter-details/6104730621ff318d
328,Gabriel,Benitez,Moggly,http://ufcstats.com/fighter-details/436f970c9ea9169c
329,Charles,Bennett,Krazy Horse,http://ufcstats.com/fighter-details/8dc4f34c1f50d00d
330,Josh,Bennett,,http://ufcstats.com/fighter-details/c3ac8d0da7b05772
331,DeAnna,Bennett,The Argentine Assassin,http://ufcstats.com/fighter-details/404ecb2700844072
332,Benjamin,Bennett,Mr. Alaska,http://ufcstats.com/fighter-details/7030c27fc9778964
333,Lance,Benoist,,http://ufcstats.com/fighter-details/5431dccc09118234
334,Joe,Benoit,,http://ufcstats.com/fighter-details/a30f6d375dea5f9b
335,Ryan,Benoit,Baby Face,http://ufcstats.com/fighter-details/20999e27ddd94bda
336,Pat,Benson,,http://ufcstats.com/fighter-details/a25f3dc0df974597
337,Len,Bentley,,http://ufcstats.com/fighter-details/592d23aed850e652
338,Steve,Berger,The Red Nosed Pitbull,http://ufcstats.com/fighter-details/21b1132949f2a9b0
339,Kenneth,Bergh,,http://ufcstats.com/fighter-details/aa8189053b3a8994
340,Bret,Bergmark,The Angry Hick,http://ufcstats.com/fighter-details/2891c9f7b26b26fc
341,Keith,Berish,Sha Bang Bang,http://ufcstats.com/fighter-details/e3779ef06e98f185
342,Dennis,Bermudez,The Menace,http://ufcstats.com/fighter-details/6f242453c91a5af0
343,Manny,Bermudez,The Bermudez Triangle,http://ufcstats.com/fighter-details/2dc1bc1a02961656
344,Talita,Bernardo,,http://ufcstats.com/fighter-details/5b2325cd70dbe2ea
345,Dave,Berry,,http://ufcstats.com/fighter-details/b3bbe88fecd6a0d2
346,Keith,Berry,,http://ufcstats.com/fighter-details/0b935b9bbbe5fc07
347,Dieusel,Berto,,http://ufcstats.com/fighter-details/0db70ca89e1c7374
348,Edson,Berto,Little Tiger,http://ufcstats.com/fighter-details/66766984842c13dc
349,Allen,Berube,Monstah Lobstah,http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c
350,Anton,Berzin,The Body Snatcher,http://ufcstats.com/fighter-details/8ba8e8d7eafa7267
351,Scott,Bessac,,http://ufcstats.com/fighter-details/3f24c96753dbd9f9
352,Matt,Bessette,The Mangler,http://ufcstats.com/fighter-details/0b8d512c79b4baf3
353,Khadzhi,Bestaev,Best,http://ufcstats.com/fighter-details/e05f4ce199baca91
354,Fernando,Bettega,,http://ufcstats.com/fighter-details/a524710c3ef918fa
355,Arjan,Bhullar,,http://ufcstats.com/fighter-details/7e511f8d842a109d
