fight_id,fighter_id,round,kd,sig.str. %,td %,sub.att,rev.,ctrl,sig.str._landed,sig.str._attempted,total str._landed,total str._attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
7951,4119,round 1,0,61%,---,0,0,0:00,30,49,46,65,0,0,24,39,2,4,4,6,15,32,13,15,2,2
7951,4119,round 2,0,52%,---,0,0,0:09,72,136,73,137,0,0,57,119,14,15,1,2,71,134,1,2,0,0
7951,4119,round 3,0,52%,---,0,0,0:11,63,119,65,121,0,0,50,104,6,8,7,7,58,113,5,5,0,1
7950,675,round 1,0,35%,25%,0,0,1:35,6,17,12,25,1,4,4,13,2,4,0,0,4,15,2,2,0,0
7950,675,round 2,0,31%,0%,0,0,1:20,5,16,38,54,0,3,5,14,0,2,0,0,3,11,2,5,0,0
7950,675,round 3,0,33%,100%,1,0,0:53,2,6,4,8,1,1,2,6,0,0,0,0,2,3,0,3,0,0
7950,1489,round 1,0,20%,0%,0,0,0:00,3,15,5,17,0,1,3,15,0,0,0,0,3,14,0,1,0,0
7950,1489,round 2,0,45%,---,0,0,1:19,5,11,11,18,0,0,4,10,1,1,0,0,5,10,0,1,0,0
7950,1489,round 3,0,25%,---,0,0,0:00,2,8,2,8,0,0,2,8,0,0,0,0,2,6,0,2,0,0
7949,1509,round 1,0,38%,0%,0,0,0:00,5,13,6,15,0,1,3,9,2,4,0,0,2,10,3,3,0,0
7949,1713,round 1,0,46%,50%,1,0,2:08,7,15,14,28,3,6,5,10,2,5,0,0,5,12,1,2,1,1
7948,2883,round 1,1,41%,---,0,0,0:04,29,70,29,70,0,0,19,55,10,13,0,2,26,67,0,0,3,3
7948,499,round 1,0,46%,0%,0,0,0:00,32,69,32,69,0,2,16,50,6,9,10,10,32,69,0,0,0,0
7947,4362,round 1,0,100%,---,0,1,2:21,6,6,42,42,0,0,5,5,0,0,1,1,1,1,1,1,4,4
7947,4362,round 2,0,65%,100%,0,0,0:02,32,49,32,49,1,1,12,26,6,6,14,17,31,48,1,1,0,0
7947,4362,round 3,0,58%,---,0,0,0:54,21,36,28,44,0,0,16,28,1,3,4,5,18,32,2,2,1,2
7947,4362,round 4,0,62%,---,0,0,0:04,25,40,50,65,0,0,19,33,5,5,1,2,21,35,4,5,0,0
7947,4362,round 5,0,59%,0%,0,0,0:00,37,62,38,63,0,3,26,50,6,7,5,5,32,56,5,6,0,0
7947,1200,round 1,0,100%,50%,0,0,1:58,1,1,1,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0
7947,1200,round 2,0,33%,0%,0,0,0:00,10,30,10,30,0,3,6,21,3,7,1,2,10,29,0,1,0,0
7947,1200,round 3,0,52%,100%,0,0,0:06,13,25,13,25,1,1,4,15,6,7,3,3,13,25,0,0,0,0
7947,1200,round 4,0,46%,0%,0,0,0:55,14,30,14,30,0,2,4,15,8,12,2,3,12,26,2,4,0,0
7947,1200,round 5,0,45%,---,0,0,0:01,15,33,15,33,0,0,9,24,6,9,0,0,13,31,2,2,0,0
7946,4361,round 1,0,40%,---,0,0,0:00,16,40,16,40,0,0,5,25,7,11,4,4,16,40,0,0,0,0
7946,4361,round 2,0,46%,---,0,0,0:00,25,54,34,63,0,0,16,40,7,11,2,3,25,53,0,1,0,0
7946,4361,round 3,0,55%,---,0,0,0:00,37,67,39,69,0,0,24,53,11,12,2,2,36,66,1,1,0,0
7946,3296,round 1,0,0%,0%,0,0,0:00,0,13,0,13,0,1,0,12,0,0,0,1,0,13,0,0,0,0
7946,3296,round 2,0,26%,100%,0,0,0:16,8,30,10,33,1,1,3,21,1,3,4,6,8,29,0,1,0,0
7946,3296,round 3,0,11%,0%,0,0,0:00,7,60,7,60,0,1,5,52,0,1,2,7,7,59,0,1,0,0
7945,3775,round 1,0,42%,0%,0,0,0:19,9,21,11,23,0,1,4,15,1,2,4,4,8,20,1,1,0,0
7945,3474,round 1,1,71%,0%,0,0,0:02,20,28,20,28,0,1,7,14,3,4,10,10,19,27,0,0,1,1
7944,4228,round 1,0,41%,---,0,0,0:00,23,56,25,58,0,0,7,30,12,19,4,7,23,56,0,0,0,0
7944,4228,round 2,0,41%,0%,0,0,0:00,23,55,23,55,0,1,8,36,9,13,6,6,23,55,0,0,0,0
7944,1183,round 1,0,23%,0%,0,0,0:07,6,26,7,28,0,2,5,22,0,1,1,3,6,26,0,0,0,0
7944,1183,round 2,1,36%,---,1,0,0:21,12,33,12,33,0,0,8,28,2,2,2,3,12,32,0,0,0,1
7943,2899,round 1,0,56%,---,0,0,0:00,29,51,29,51,0,0,12,30,8,12,9,9,28,50,1,1,0,0
7943,2899,round 2,0,47%,---,0,0,0:00,28,59,28,59,0,0,11,40,4,6,13,13,28,59,0,0,0,0
7943,2899,round 3,0,53%,0%,0,0,0:03,39,73,39,73,0,2,28,61,5,6,6,6,39,73,0,0,0,0
7943,4087,round 1,0,40%,---,0,0,0:00,24,60,24,60,0,0,18,51,3,5,3,4,24,60,0,0,0,0
7943,4087,round 2,0,48%,---,0,0,0:00,29,60,29,60,0,0,23,53,2,3,4,4,29,60,0,0,0,0
7943,4087,round 3,0,53%,---,0,0,0:00,45,84,45,84,0,0,40,78,4,5,1,1,45,84,0,0,0,0
7942,4423,round 1,1,50%,---,0,0,0:05,17,34,19,38,0,0,9,24,2,4,6,6,15,26,0,0,2,8
7942,958,round 1,0,75%,---,0,0,0:00,9,12,9,12,0,0,4,7,5,5,0,0,9,12,0,0,0,0
7941,1851,round 1,0,7%,---,0,0,0:00,1,14,18,33,0,0,0,13,1,1,0,0,1,14,0,0,0,0
7941,1851,round 2,0,17%,---,0,0,0:00,5,28,19,43,0,0,2,23,3,5,0,0,5,28,0,0,0,0
7941,1851,round 3,0,10%,100%,0,0,0:17,3,30,11,38,1,1,2,27,0,2,1,1,3,30,0,0,0,0
7941,4389,round 1,0,60%,100%,0,0,3:29,9,15,42,48,2,2,7,13,1,1,1,1,5,8,1,2,3,5
7941,4389,round 2,0,47%,0%,0,0,1:17,16,34,26,45,0,2,10,28,1,1,5,5,16,33,0,0,0,1
7941,4389,round 3,0,44%,0%,0,0,0:00,17,38,17,38,0,1,11,30,2,4,4,4,15,36,2,2,0,0
7940,3454,round 1,0,8%,---,0,0,0:00,2,23,5,26,0,0,0,17,0,2,2,4,2,23,0,0,0,0
7940,684,round 1,1,63%,---,0,0,0:01,12,19,12,19,0,0,6,12,2,3,4,4,12,17,0,1,0,1
7939,3647,round 1,0,31%,50%,0,0,0:26,12,38,12,39,1,2,4,25,4,7,4,6,12,36,0,2,0,0
7939,3647,round 2,0,21%,---,0,0,0:27,13,61,16,64,0,0,5,45,6,14,2,2,13,59,0,2,0,0
7939,3647,round 3,1,55%,---,0,0,0:02,5,9,5,9,0,0,4,6,1,3,0,0,3,6,0,0,2,3
7939,1176,round 1,0,48%,---,0,1,1:03,18,37,25,45,0,0,8,24,0,2,10,11,17,35,0,1,1,1
7939,1176,round 2,0,45%,---,0,0,0:02,27,59,30,63,0,0,19,48,2,5,6,6,27,59,0,0,0,0
7939,1176,round 3,0,50%,---,0,0,0:00,3,6,3,6,0,0,2,5,0,0,1,1,3,6,0,0,0,0
7938,4071,round 1,1,46%,0%,1,0,0:07,12,26,13,27,0,2,6,18,3,4,3,4,12,23,0,3,0,0
7938,4071,round 2,0,11%,0%,0,1,0:06,2,18,2,18,0,1,2,18,0,0,0,0,1,14,0,0,1,4
7938,4071,round 3,0,24%,---,0,0,0:02,12,49,13,50,0,0,10,46,2,3,0,0,11,47,1,1,0,1
7938,1646,round 1,0,37%,25%,0,0,1:52,11,29,12,30,1,4,7,23,2,3,2,3,9,25,2,3,0,1
7938,1646,round 2,0,46%,60%,0,0,2:52,12,26,13,29,3,5,6,20,4,4,2,2,11,21,0,4,1,1
7938,1646,round 3,0,42%,0%,0,0,0:01,21,50,21,51,0,5,13,42,2,2,6,6,20,48,1,2,0,0
7937,1971,round 1,0,46%,---,0,0,0:00,21,45,21,45,0,0,6,21,4,10,11,14,21,45,0,0,0,0
7937,1971,round 2,0,39%,0%,0,0,0:00,18,46,18,46,0,2,9,28,7,11,2,7,17,45,1,1,0,0
7937,1971,round 3,0,34%,---,0,0,0:00,12,35,12,35,0,0,9,25,1,7,2,3,12,34,0,1,0,0
7937,2896,round 1,0,43%,---,0,0,0:00,19,44,19,44,0,0,3,19,2,6,14,19,19,44,0,0,0,0
7937,2896,round 2,0,33%,---,1,0,0:33,20,60,29,70,0,0,7,29,6,20,7,11,19,58,1,2,0,0
7937,2896,round 3,0,20%,0%,0,0,0:03,11,54,11,54,0,1,3,30,5,14,3,10,11,54,0,0,0,0
7936,4344,round 1,0,48%,0%,0,0,0:00,40,82,41,83,0,1,30,67,2,5,8,10,38,78,2,3,0,1
7936,4344,round 2,0,39%,0%,0,0,0:21,35,89,37,91,0,1,27,75,4,7,4,7,35,85,0,4,0,0
7936,4344,round 3,1,57%,0%,0,0,0:05,12,21,14,24,0,1,9,16,2,4,1,1,7,15,3,4,2,2
7936,2173,round 1,0,42%,---,0,0,0:00,29,68,30,70,0,0,18,55,11,13,0,0,29,67,0,1,0,0
7936,2173,round 2,0,37%,100%,0,0,0:07,25,67,26,68,1,1,15,55,9,11,1,1,23,64,2,3,0,0
7936,2173,round 3,0,50%,0%,0,0,0:00,10,20,12,22,0,1,6,16,3,3,1,1,7,17,3,3,0,0
7935,,round 1,0,36%,---,0,0,0:00,16,44,16,44,0,0,7,33,4,5,5,6,14,41,2,3,0,0
7935,,round 2,0,36%,---,0,0,0:00,24,66,24,66,0,0,11,51,2,3,11,12,24,62,0,4,0,0
7935,,round 3,0,27%,---,0,0,0:00,16,59,20,63,0,0,11,49,3,5,2,5,15,57,1,2,0,0
7935,2715,round 1,1,39%,---,0,0,0:07,25,63,32,74,0,0,18,52,2,5,5,6,24,60,1,3,0,0
7935,2715,round 2,0,46%,---,0,0,0:05,25,54,25,57,0,0,19,47,3,4,3,3,24,50,1,4,0,0
7935,2715,round 3,1,57%,---,0,0,1:20,28,49,30,52,0,0,24,45,2,2,2,2,19,37,0,0,9,12
7934,1888,round 1,0,87%,100%,0,0,3:37,42,48,49,56,1,1,36,42,4,4,2,2,5,6,0,0,37,42
7934,1888,round 2,0,71%,---,0,0,0:00,20,28,20,28,0,0,9,16,7,8,4,4,19,27,1,1,0,0
7934,1888,round 3,1,79%,---,0,0,0:14,34,43,35,44,0,0,25,33,5,6,4,4,30,37,1,2,3,4
7934,2619,round 1,0,46%,---,0,0,0:00,6,13,11,18,0,0,3,10,1,1,2,2,5,12,0,0,1,1
7934,2619,round 2,0,43%,---,0,0,0:00,16,37,16,37,0,0,9,29,4,5,3,3,16,37,0,0,0,0
7934,2619,round 3,0,38%,---,0,0,0:00,15,39,15,39,0,0,12,36,2,2,1,1,11,34,4,5,0,0
7933,2917,round 1,0,68%,50%,0,0,3:31,11,16,18,24,1,2,4,7,3,5,4,4,11,16,0,0,0,0
7933,2917,round 2,0,68%,100%,0,0,2:48,24,35,27,38,1,1,19,27,3,5,2,3,11,21,1,1,12,13
7933,2917,round 3,0,75%,33%,1,0,3:11,27,36,41,51,1,3,21,29,4,5,2,2,21,28,2,4,4,4
7933,2917,round 4,0,77%,33%,1,0,3:55,14,18,15,19,1,3,7,11,6,6,1,1,12,16,0,0,2,2
7933,2917,round 5,0,70%,33%,0,0,1:27,12,17,16,21,1,3,5,8,2,4,5,5,12,17,0,0,0,0
7933,658,round 1,0,88%,---,0,0,0:00,8,9,35,37,0,0,4,5,3,3,1,1,8,9,0,0,0,0
7933,658,round 2,0,68%,---,0,0,0:00,15,22,38,45,0,0,11,18,3,3,1,1,15,22,0,0,0,0
7933,658,round 3,0,68%,---,0,0,0:00,13,19,15,21,0,0,8,14,1,1,4,4,13,19,0,0,0,0
7933,658,round 4,0,50%,0%,0,0,0:00,8,16,10,19,0,1,6,12,0,1,2,3,8,16,0,0,0,0
7933,658,round 5,0,85%,---,0,0,1:59,40,47,52,59,0,0,30,36,9,10,1,1,16,23,0,0,24,24
7932,2831,round 1,0,51%,---,0,0,0:00,16,31,16,31,0,0,5,17,3,5,8,9,16,31,0,0,0,0
7932,2831,round 2,0,84%,---,0,0,0:00,22,26,22,26,0,0,10,13,8,9,4,4,22,26,0,0,0,0
7932,2831,round 3,0,57%,---,0,0,0:00,16,28,16,28,0,0,9,20,2,2,5,6,16,28,0,0,0,0
